Gene	sgRNA	L3_F1|beta	L3_F1|z	L3_F1|p-value	L3_F1|fdr	L3_F1|wald-p-value	L3_F1|wald-fdr	L3_F2|beta	L3_F2|z	L3_F2|p-value	L3_F2|fdr	L3_F2|wald-p-value	L3_F2|wald-fdr	L3_F3|beta	L3_F3|z	L3_F3|p-value	L3_F3|fdr	L3_F3|wald-p-value	L3_F3|wald-fdr
SIRT1	6	0.018115	0.98974	0.72165	1	0.3223	0.63798	-0.018753	-1.0246	0.59794	0.98936	0.30556	0.59278	0.011719	0.64029	0.82474	1	0.52198	0.9867
SIRT2	6	-0.034904	-1.0817	0.43299	0.97959	0.27941	0.63798	-0.017684	-0.54799	0.60825	0.98936	0.5837	0.83535	-0.010497	-0.3253	0.72165	1	0.74496	0.99827
SIRT3	6	0.037356	0.68129	0.47423	0.97959	0.49569	0.69684	0.069936	1.2753	0.14433	0.85366	0.20219	0.56001	0.0024916	0.045444	0.98969	1	0.96375	0.99827
SIRT4	6	0.077047	1.9066	0.26804	0.97959	0.056577	0.34588	0.11418	2.8253	0.010309	0.16667	0.0047242	0.09165	0.044419	1.0992	0.31959	1	0.27166	0.9867
SIRT5	6	0.022893	0.75018	0.61856	1	0.45315	0.65605	0.0497	1.6285	0.29897	0.85366	0.10342	0.456	0.055423	1.8162	0.26804	1	0.069344	0.88166
SIRT6	6	0.044956	1.954	0.42268	0.97959	0.050696	0.34588	0.02682	1.1657	0.68041	0.98936	0.24374	0.56001	0.015521	0.67465	0.73196	1	0.4999	0.9867
SIRT7	6	0.031887	0.8943	0.49485	0.97959	0.37116	0.63798	0.049194	1.3796	0.31959	0.85366	0.16772	0.49394	0.0096718	0.27127	0.86598	1	0.78619	0.99827
SMARCA1	6	-0.08476	-2.3922	0.13402	0.97959	0.016748	0.24092	-0.054911	-1.5496	0.27835	0.85366	0.12124	0.47281	-0.076894	-2.1703	0.010309	0.14286	0.029987	0.88166
SMARCA2	6	0.039319	1.7057	0.4433	0.97959	0.088068	0.40679	0.018708	0.81151	0.82474	0.98936	0.41707	0.68185	0.027155	1.178	0.56701	1	0.23879	0.9867
SMARCA4	6	-0.0091662	-0.22552	0.81443	1	0.82158	0.9056	0.057251	1.4084	0.2268	0.85366	0.15901	0.49394	0.085205	2.0962	0.18557	1	0.036061	0.88166
SMARCA5	6	0.038745	0.80488	0.46392	0.97959	0.42089	0.63976	0.057491	1.1942	0.2268	0.85366	0.2324	0.56001	0.02297	0.4772	0.62887	1	0.63322	0.9867
SMARCAD1	6	-0.043592	-1.6178	0.34021	0.97959	0.10571	0.42726	0.022507	0.83516	0.74227	0.98936	0.40363	0.68185	0.035385	1.3131	0.4433	1	0.18914	0.9867
SMARCAL1	6	-0.0014925	-0.052495	0.98969	1	0.95813	0.97228	0.0028102	0.098837	0.8866	0.98936	0.92127	0.98286	-0.023351	-0.82136	0.4433	1	0.41144	0.9867
SMARCB1	6	0.0011983	0.034748	1	1	0.97228	0.97228	-0.021164	-0.61369	0.56701	0.98936	0.53942	0.8334	-0.053514	-1.5519	0.14433	1	0.12068	0.88166
SMARCC1	6	0.07458	1.4044	0.26804	0.97959	0.16019	0.53582	0.064978	1.2235	0.16495	0.85366	0.22113	0.56001	0.09494	1.7879	0.16495	1	0.073799	0.88166
SMARCC2	6	-0.01698	-0.45421	0.68041	1	0.64968	0.7701	-0.05649	-1.5111	0.25773	0.85366	0.13077	0.47281	-0.058149	-1.5556	0.10309	0.90909	0.1198	0.88166
SMARCD1	6	0.040123	1.1849	0.43299	0.97959	0.23605	0.61882	0.060275	1.7799	0.19588	0.85366	0.075089	0.456	0.0036157	0.10679	0.98969	1	0.91496	0.99827
SMARCD2	6	-0.03269	-0.95417	0.4433	0.97959	0.34	0.63798	-0.041746	-1.2184	0.34021	0.85366	0.22307	0.56001	0.00011355	0.0033144	0.93814	1	0.99736	0.99827
SMARCD3	6	0.027475	0.85326	0.54639	1	0.39352	0.63976	0.048555	1.5078	0.31959	0.85366	0.13161	0.47281	0.0060208	0.18699	0.93814	1	0.85167	0.99827
SMARCE1	6	-0.0075282	-0.13415	0.85567	1	0.89328	0.95218	-0.065968	-1.1755	0.21649	0.85366	0.23978	0.56001	-0.066508	-1.1853	0.041237	0.44444	0.23591	0.9867
SET	6	0.02606	0.79898	0.56701	1	0.4243	0.63976	0.054319	1.6653	0.26804	0.85366	0.095857	0.456	0.048292	1.4806	0.27835	1	0.1387	0.89694
SETBP1	6	0.0064225	0.35626	0.90722	1	0.72164	0.81395	0.0012674	0.070299	0.84536	0.98936	0.94396	0.98456	0.014435	0.80074	0.74227	1	0.42328	0.9867
SETD1A	6	0.05323	1.8569	0.38144	0.97959	0.063323	0.34588	0.016037	0.55943	0.87629	0.98936	0.57587	0.83535	0.011608	0.40497	0.82474	1	0.6855	0.9867
SETD1B	6	-0.019221	-0.50018	0.65979	1	0.61695	0.75752	-0.014129	-0.36766	0.63918	0.98936	0.71313	0.91851	-0.018278	-0.47567	0.58763	1	0.63431	0.9867
SETD2	6	-0.034843	-0.97901	0.43299	0.97959	0.32758	0.63798	0.03127	0.87851	0.56701	0.98936	0.37967	0.68185	-0.0004951	-0.013911	0.92784	1	0.9889	0.99827
SETD3	6	0.004339	0.14861	0.95876	1	0.88186	0.95045	-0.015919	-0.54522	0.62887	0.98936	0.5856	0.83535	-0.036222	-1.2407	0.29897	1	0.21471	0.9867
SETD4	6	-0.0020026	-0.053817	0.97938	1	0.95708	0.97228	-0.034929	-0.93864	0.39175	0.88372	0.34791	0.63675	0.0070528	0.18954	0.91753	1	0.84967	0.99827
SETD5	6	-0.053766	-1.0821	0.24742	0.97959	0.27919	0.63798	-0.029633	-0.59636	0.42268	0.91111	0.55094	0.8334	-0.011933	-0.24018	0.69072	1	0.81019	0.99827
SETD6	6	0.026235	0.87592	0.5567	1	0.38107	0.63798	-0.045923	-1.5332	0.31959	0.85366	0.12522	0.47281	-0.0221	-0.73793	0.48454	1	0.46056	0.9867
SETD7	6	-0.0022571	-0.040772	0.96907	1	0.96748	0.97228	-0.00079475	-0.014355	0.83505	0.98936	0.98855	0.98855	-0.00012022	-0.0021717	0.93814	1	0.99827	0.99827
SETD8	4	0.00878	0.20493	0.90722	1	0.83763	0.91292	0.012696	0.2963	0.91753	0.98936	0.767	0.91851	0.039175	0.91436	0.4433	1	0.36053	0.9867
SETD9	6	0.019084	0.64985	0.72165	1	0.51579	0.70467	0.004248	0.14464	0.90722	0.98936	0.88499	0.98286	-0.0027057	-0.092138	0.83505	1	0.92659	0.99827
SETDB1	6	0.031499	0.99314	0.49485	0.97959	0.32064	0.63798	0.039504	1.2454	0.41237	0.90909	0.21297	0.56001	0.034881	1.0998	0.4433	1	0.27141	0.9867
SETDB2	6	-0.079978	-2.0165	0.13402	0.97959	0.043749	0.34588	-0.066134	-1.6673	0.21649	0.85366	0.095452	0.456	-0.06183	-1.559	0.072165	0.7	0.119	0.88166
BRD1	6	-0.09869	-2.3784	0.092784	0.97959	0.017386	0.24092	-0.072056	-1.7364	0.20619	0.85366	0.082492	0.456	-0.035547	-0.85668	0.30928	1	0.39162	0.9867
BRD2	6	-0.025693	-0.56813	0.59794	1	0.56994	0.71798	0.044455	0.98288	0.36082	0.85366	0.32567	0.6075	0.034422	0.76115	0.4433	1	0.44657	0.9867
BRD3	6	0.026691	0.7111	0.54639	1	0.47702	0.68046	-0.006215	-0.16557	0.75258	0.98936	0.86849	0.98286	-0.022876	-0.60952	0.46392	1	0.54218	0.9867
BRD4	6	-0.074316	-1.2516	0.15464	0.97959	0.21073	0.6012	0.0019259	0.032432	0.8866	0.98936	0.97413	0.98855	-0.18196	-3.0648	0	0	0.0021784	0.2113
BRD7	6	-0.078559	-1.8618	0.13402	0.97959	0.062629	0.34588	-0.036246	-0.85894	0.39175	0.88372	0.39037	0.68185	0.015575	0.3691	0.73196	1	0.71205	0.9867
BRD8	6	0.013074	0.45235	0.82474	1	0.65101	0.7701	0.058296	2.0169	0.21649	0.85366	0.043707	0.42396	-0.0065149	-0.22543	0.76289	1	0.82164	0.99827
BRD9	6	0.0093822	0.42178	0.87629	1	0.67319	0.78674	0.053532	2.4063	0.27835	0.85366	0.016115	0.24501	-0.0038524	-0.1732	0.81443	1	0.8625	0.99827
DNMT1	6	0.11354	2.4491	0.13402	0.97959	0.014322	0.24092	0.10465	2.2572	0.030928	0.42857	0.023998	0.29098	-0.019734	-0.42574	0.5567	1	0.6703	0.9867
DNMT3A	6	0.066011	1.6334	0.30928	0.97959	0.10238	0.42726	0.055713	1.3785	0.25773	0.85366	0.16804	0.49394	-0.011512	-0.28488	0.70103	1	0.77574	0.99827
DNMT3B	6	0.046127	1.7443	0.42268	0.97959	0.081112	0.39339	0.027426	1.037	0.64948	0.98936	0.29971	0.59278	0.00028089	0.010623	0.95876	1	0.99152	0.99827
DNMT3L	6	0.061655	1.9974	0.34021	0.97959	0.045782	0.34588	-0.012083	-0.39145	0.6701	0.98936	0.69547	0.91851	0.028279	0.91617	0.53608	1	0.35958	0.9867
KMT2A	6	0.050488	1.206	0.40206	0.97959	0.22781	0.61882	0.074001	1.7675	0.13402	0.85366	0.077137	0.456	0.047157	1.1265	0.29897	1	0.25995	0.9867
KMT2B	6	-0.038316	-0.81998	0.39175	0.97959	0.41223	0.63976	0.005477	0.1172	0.93814	0.98936	0.9067	0.98286	-0.033434	-0.71553	0.3299	1	0.47428	0.9867
KMT2C	6	-0.063003	-1.3827	0.19588	0.97959	0.16676	0.53918	-0.084716	-1.8591	0.13402	0.85366	0.063008	0.456	-0.02372	-0.52058	0.4433	1	0.60266	0.9867
KMT2D	6	-0.11188	-2.7283	0.082474	0.97959	0.0063658	0.20583	-0.045765	-1.1159	0.31959	0.85366	0.26446	0.57005	-0.02832	-0.69059	0.35052	1	0.48982	0.9867
KMT2E	6	-0.049809	-1.1985	0.26804	0.97959	0.23073	0.61882	0.01102	0.26515	0.94845	0.98936	0.7909	0.93557	-0.016634	-0.40025	0.62887	1	0.68897	0.9867
BCL6	6	0.0025996	0.098728	0.97938	1	0.92135	0.97143	0.018897	0.71763	0.82474	0.98936	0.47298	0.75212	0.021819	0.82865	0.63918	1	0.4073	0.9867
EZH1	6	-0.014998	-0.37621	0.72165	1	0.70676	0.80654	-0.065228	-1.6362	0.21649	0.85366	0.1018	0.456	-0.081857	-2.0535	0	0	0.040021	0.88166
EZH2	6	0.042778	0.66499	0.42268	0.97959	0.50606	0.70125	0.031725	0.49314	0.5567	0.98936	0.62191	0.84965	0.05669	0.88127	0.26804	1	0.37817	0.9867
JARID2	6	-0.0266	-0.87656	0.56701	1	0.38072	0.63798	0.024809	0.81743	0.71134	0.98936	0.41368	0.68185	-0.023405	-0.77129	0.4433	1	0.44054	0.9867
DOT1L	6	0.10488	2.2225	0.15464	0.97959	0.02625	0.28292	0.053111	1.1255	0.27835	0.85366	0.26039	0.57005	0.07196	1.525	0.19588	1	0.12725	0.88166
EED	6	0.010157	0.32441	0.86598	1	0.74563	0.83133	-0.0049742	-0.15886	0.7732	0.98936	0.87378	0.98286	0.012398	0.396	0.81443	1	0.6921	0.9867
SUZ12	6	0.051514	1.4254	0.40206	0.97959	0.15404	0.53365	0.010744	0.29729	0.95876	0.98936	0.76625	0.91851	0.035632	0.986	0.43299	1	0.32413	0.9867
AEBP1	6	0.025799	0.62391	0.58763	1	0.53268	0.71764	0.034308	0.82962	0.49485	0.98936	0.40675	0.68185	-0.014021	-0.33909	0.68041	1	0.73455	0.99827
AEBP2	6	0.044953	0.84214	0.42268	0.97959	0.39971	0.63976	0.074243	1.3907	0.13402	0.85366	0.1643	0.49394	-0.0018334	-0.034349	0.85567	1	0.9726	0.99827
RBBP4	6	0.016585	0.61211	0.74227	1	0.54047	0.71798	0.01009	0.37235	0.96907	0.98947	0.70963	0.91851	-0.023339	-0.86142	0.4433	1	0.389	0.9867
PHF1	6	-0.0011647	-0.036635	0.98969	1	0.97078	0.97228	-0.0041609	-0.13087	0.79381	0.98936	0.89588	0.98286	-0.008495	-0.26721	0.74227	1	0.78931	0.99827
EP300	6	-0.075321	-1.4316	0.14433	0.97959	0.15227	0.53365	-0.18116	-3.4432	0.010309	0.16667	0.00057487	0.018587	0.031114	0.59134	0.51546	1	0.55429	0.9867
ASH1L	6	-0.050163	-1.293	0.26804	0.97959	0.19602	0.57617	0.045541	1.1737	0.35052	0.85366	0.24052	0.56001	0.021395	0.55146	0.64948	1	0.58132	0.9867
EHMT1	6	0.034273	0.95067	0.48454	0.97959	0.34177	0.63798	0.035971	0.99773	0.48454	0.98936	0.31841	0.60561	0.0014349	0.039804	0.97938	1	0.96825	0.99827
EHMT2	6	-0.034957	-0.92763	0.43299	0.97959	0.3536	0.63798	-0.055519	-1.4732	0.27835	0.85366	0.1407	0.48741	-0.067774	-1.7986	0.030928	0.375	0.07208	0.88166
PRDM2	6	-0.050591	-1.6368	0.26804	0.97959	0.10167	0.42726	-0.00263	-0.085082	0.82474	0.98936	0.9322	0.98286	0.02616	0.84637	0.57732	1	0.39735	0.9867
NSD1	6	-0.071181	-1.9864	0.17526	0.97959	0.046991	0.34588	-0.070271	-1.9609	0.21649	0.85366	0.049894	0.43998	-0.0014467	-0.040371	0.85567	1	0.9678	0.99827
SOX9	6	0.65315	2.479	0	0	0.013173	0.24092	0.27046	1.0268	0	0	0.30453	0.59278	0.40742	1.5467	0	0	0.12194	0.88166
PROM1	6	0.015465	2.0859	0.76289	1	0.036986	0.34588	0.01062	1.4324	0.95876	0.98936	0.15203	0.49394	0.005147	0.69427	0.95876	1	0.48751	0.9867
KRT20	6	-0.6146	-3.9611	0	0	7.4613e-05	0.0071513	-0.57772	-3.7229	0	0	0.00019691	0.018288	-0.07319	-0.47149	0.010309	0.14286	0.63729	0.9867
LRIG1	6	-0.005793	-1.1609	0.90722	1	0.24567	0.6271	-0.0075883	-1.5206	0.73196	0.98936	0.12836	0.47281	-6.1625e-05	-0.01235	0.93814	1	0.99015	0.99827
CTRL0001	1	0.012445	1.0477	0.93814	1	0.29479	0.63798	0.0039946	0.33617	0.92784	0.98936	0.73674	0.91851	0.0045088	0.37968	0.91753	1	0.70419	0.9867
CTRL0002	1	0.020686	1.0025	0.83505	1	0.31611	0.63798	0.010991	0.53245	0.92784	0.98936	0.59442	0.83563	0.0092968	0.45067	0.85567	1	0.65223	0.9867
CTRL0003	1	0.0095961	0.87519	0.95876	1	0.38147	0.63798	-0.0038865	-0.35435	0.86598	0.98936	0.72308	0.91851	0.0071567	0.65287	0.87629	1	0.51384	0.9867
CTRL0004	1	0.0054192	0.83231	1	1	0.40524	0.63976	-0.00020527	-0.031516	0.91753	0.98936	0.97486	0.98855	0.0025184	0.38688	0.93814	1	0.69884	0.9867
CTRL0005	1	0.0041706	0.4886	0.97938	1	0.62512	0.75796	-0.0025594	-0.29975	0.87629	0.98936	0.76437	0.91851	-0.0077368	-0.90668	0.94845	1	0.36458	0.9867
CTRL0006	1	0.011967	1.0166	0.93814	1	0.30932	0.63798	-0.003884	-0.32985	0.86598	0.98936	0.74152	0.91851	0.0053551	0.45505	0.89691	1	0.64908	0.9867
CTRL0007	1	0.00924	0.52314	0.96907	1	0.60088	0.74724	0.018708	1.0588	0.84536	0.98936	0.28971	0.59278	0.0047514	0.26908	0.91753	1	0.78787	0.99827
CTRL0008	1	0.020234	0.78015	0.84536	1	0.4353	0.63976	0.01127	0.43437	0.92784	0.98936	0.66402	0.89458	0.021948	0.84644	0.71134	1	0.3973	0.9867
CTRL0009	1	0.0069911	0.97993	0.98969	1	0.32712	0.63798	0.00010296	0.014427	0.91753	0.98936	0.98849	0.98855	-0.000362	-0.050755	0.95876	1	0.95952	0.99827
CTRL0010	1	0.0034437	0.40392	0.96907	1	0.68627	0.79248	0.0068518	0.80337	1	1	0.42176	0.68185	-0.0049832	-0.58466	1	1	0.55878	0.9867
ROSA26	10	0.0078769	2.3029	0.95876	1	0.021282	0.25804	0.0058739	1.7173	0.98969	1	0.085926	0.456	0.0036134	1.0565	0.84536	1	0.29075	0.9867
CCR5	10	0.011188	1.8509	0.91753	1	0.064185	0.34588	0.010561	1.7471	0.8866	0.98936	0.08062	0.456	0.00065395	0.10819	0.79381	1	0.91384	0.99827
AAVS1	10	0.0070164	1.4364	0.96907	1	0.1509	0.53365	0.014953	3.061	0.80412	0.98936	0.0022059	0.053493	0.0034806	0.71255	0.83505	1	0.47613	0.9867
EGFP	6	-0.63035	-3.7953	0	0	0.00014745	0.0071513	-0.59062	-3.5556	0	0	0.00037707	0.018288	-0.086234	-0.51896	0	0	0.60379	0.9867
mKate2	6	1.1161	1.794	0	0	0.072818	0.37176	0.37813	0.60801	0	0	0.54318	0.8334	0.95654	1.5376	0	0	0.12414	0.88166
