Gene	sgRNA	L1_F2|beta	L1_F2|z	L1_F2|p-value	L1_F2|fdr	L1_F2|wald-p-value	L1_F2|wald-fdr	L1_F3|beta	L1_F3|z	L1_F3|p-value	L1_F3|fdr	L1_F3|wald-p-value	L1_F3|wald-fdr	L1_F4|beta	L1_F4|z	L1_F4|p-value	L1_F4|fdr	L1_F4|wald-p-value	L1_F4|wald-fdr
SMARCC2	6	-0.022101	-0.59631	0.36082	0.93878	0.55097	0.83506	-0.037406	-1.0092	0.3299	0.98901	0.31288	0.78844	0.029884	0.80622	0.35052	0.87179	0.42012	0.78385
SMARCD1	6	-0.044334	-1.8253	0.14433	0.93878	0.06795	0.74812	-0.017496	-0.72029	0.56701	0.98901	0.47135	0.83585	-0.01257	-0.51749	0.68041	1	0.60482	0.90257
SMARCD2	6	0.030166	0.86655	0.40206	0.93878	0.38619	0.74812	-0.019956	-0.57327	0.50515	0.98901	0.56646	0.85854	0.029946	0.86019	0.35052	0.87179	0.38968	0.78385
SMARCD3	6	-0.003115	-0.079739	0.85567	0.98936	0.93644	0.97672	-0.0075086	-0.1922	0.78351	0.98901	0.84758	0.94039	-0.00082357	-0.021082	0.92784	1	0.98318	0.99635
SMARCE1	6	-0.051685	-1.1985	0.092784	0.93878	0.23071	0.74812	0.022366	0.5186	0.57732	0.98901	0.60404	0.89748	-0.072263	-1.6757	0.20619	0.86111	0.093802	0.47169
SET	6	0.023357	0.85423	0.49485	0.94118	0.39298	0.74812	-0.0065431	-0.23929	0.81443	0.98901	0.81088	0.94039	0.060569	2.215	0.082474	0.72727	0.026759	0.21765
SETBP1	6	-0.0039533	-0.21369	0.81443	0.98936	0.83079	0.93705	-0.0059514	-0.32168	0.82474	0.98901	0.7477	0.94039	-0.017308	-0.93554	0.60825	1	0.34951	0.77051
SETD1A	6	0.036532	0.78637	0.30928	0.93878	0.43165	0.74812	0.1131	2.4343	0.020619	0.66667	0.01492	0.24595	0.031153	0.67054	0.31959	0.86111	0.50251	0.82616
SETD1B	6	0.02506	0.95622	0.47423	0.93878	0.33896	0.74812	-0.0047421	-0.18094	0.87629	0.98901	0.85641	0.94039	-0.0090084	-0.34373	0.72165	1	0.73105	0.95133
SETD2	6	0.0045977	0.11899	0.95876	0.98936	0.90528	0.97672	0.075527	1.9545	0.061856	0.85714	0.050645	0.4466	-0.010141	-0.26243	0.72165	1	0.79299	0.97757
SETD3	6	0.025479	0.93063	0.47423	0.93878	0.35204	0.74812	0.024141	0.88172	0.51546	0.98901	0.37793	0.81533	0.042975	1.5696	0.20619	0.86111	0.11651	0.51369
SETD4	6	-0.004056	-0.1524	0.80412	0.98936	0.87887	0.96875	0.010805	0.40597	0.8866	0.98901	0.68477	0.94039	-0.035376	-1.3292	0.31959	0.86111	0.18378	0.66023
SETD5	6	-0.019489	-0.77323	0.41237	0.93878	0.43939	0.74812	0.016654	0.66071	0.79381	0.98901	0.5088	0.83585	-0.020463	-0.81186	0.51546	1	0.41687	0.78385
SETD6	6	-0.038694	-1.3505	0.21649	0.93878	0.17687	0.74812	0.0061065	0.2131	0.91753	0.98901	0.83125	0.94039	0.023992	0.83726	0.5567	1	0.40244	0.78385
SETD7	6	-0.014581	-0.49096	0.50515	0.94231	0.62346	0.86195	-0.0070995	-0.23904	0.79381	0.98901	0.81108	0.94039	-0.037129	-1.2501	0.30928	0.86111	0.21125	0.66099
SETD8	4	0.043137	0.60084	0.2268	0.93878	0.54795	0.83506	0.091783	1.2783	0.030928	0.75	0.20115	0.75566	0.039324	0.54771	0.3299	0.86486	0.58389	0.90257
SETD9	6	-0.025349	-0.77284	0.31959	0.93878	0.43962	0.74812	-0.029041	-0.88536	0.40206	0.98901	0.37596	0.81533	-0.020539	-0.62616	0.51546	1	0.53121	0.85879
SETDB1	6	0.016302	0.79751	0.68041	0.98936	0.42515	0.74812	0.049619	2.4273	0.2268	0.98901	0.015214	0.24595	-0.010731	-0.52498	0.72165	1	0.5996	0.90257
SETDB2	6	-0.010348	-0.32756	0.58763	0.98936	0.74324	0.90118	-0.0017044	-0.053951	0.92784	0.98901	0.95697	0.99425	0.03104	0.98252	0.31959	0.86111	0.32584	0.75254
BRD1	6	0.039498	1.2866	0.25773	0.93878	0.19824	0.74812	-0.018708	-0.60939	0.53608	0.98901	0.54226	0.83585	0.031738	1.0338	0.29897	0.86111	0.30124	0.74924
BRD2	6	-0.0057679	-0.16884	0.74227	0.98936	0.86592	0.96545	0.040408	1.1828	0.38144	0.98901	0.23691	0.75566	-0.058173	-1.7029	0.2268	0.86111	0.088593	0.47169
BRD3	6	-0.033016	-1.4341	0.23711	0.93878	0.15153	0.74812	-0.052282	-2.2709	0.2268	0.98901	0.023151	0.28071	-0.0080549	-0.34986	0.73196	1	0.72644	0.95133
BRD4	6	0.00031476	0.0057184	0.89691	0.98936	0.99544	0.99544	0.077767	1.4127	0.051546	0.83333	0.15775	0.73254	-0.0035271	-0.064076	0.81443	1	0.94891	0.98972
BRD7	6	0.0099707	0.25207	0.84536	0.98936	0.80099	0.91407	-0.0055095	-0.13928	0.83505	0.98901	0.88923	0.95839	-0.0077733	-0.19651	0.74227	1	0.84421	0.97757
BRD8	6	0.030688	0.91034	0.40206	0.93878	0.36265	0.74812	0.078006	2.3138	0.051546	0.83333	0.020679	0.28071	0.074371	2.206	0.041237	0.4	0.027384	0.21765
BRD9	6	-0.024373	-0.85906	0.34021	0.93878	0.39031	0.74812	-0.023011	-0.81102	0.48454	0.98901	0.41735	0.81988	-0.057546	-2.0283	0.2268	0.86111	0.042531	0.27503
DNMT1	6	-0.006518	-0.35394	0.72165	0.98936	0.72338	0.8882	0.0018613	0.10107	0.98969	0.98969	0.9195	0.96947	0.014845	0.80606	0.78351	1	0.42021	0.78385
DNMT3A	6	0.024174	0.64903	0.47423	0.93878	0.51632	0.83506	0.046759	1.2553	0.25773	0.98901	0.20935	0.75566	0.048083	1.2909	0.17526	0.86111	0.19674	0.66099
DNMT3B	6	0.032735	1.2003	0.36082	0.93878	0.23003	0.74812	0.040706	1.4925	0.38144	0.98901	0.13557	0.73254	0.0035324	0.12952	1	1	0.89694	0.97757
DNMT3L	6	0.071771	1.6183	0.051546	0.71429	0.10559	0.74812	0.05415	1.221	0.18557	0.98901	0.22209	0.75566	0.03257	0.73441	0.29897	0.86111	0.4627	0.80146
KMT2A	6	-0.015569	-0.55976	0.49485	0.94118	0.57564	0.84602	-0.00052473	-0.018865	0.92784	0.98901	0.98495	0.99425	-0.012797	-0.46008	0.68041	1	0.64546	0.92072
KMT2B	6	0.027345	0.72399	0.4433	0.93878	0.46907	0.78448	0.033809	0.89511	0.43299	0.98901	0.37073	0.81533	0.005598	0.14821	0.94845	1	0.88217	0.97757
KMT2C	6	-0.0034948	-0.094152	0.83505	0.98936	0.92499	0.97672	-0.070223	-1.8919	0.18557	0.98901	0.05851	0.45157	-0.078366	-2.1113	0.17526	0.86111	0.03475	0.24077
KMT2D	6	0.038886	1.5047	0.25773	0.93878	0.13239	0.74812	0.021699	0.83966	0.62887	0.98901	0.4011	0.81533	-0.025692	-0.99418	0.45361	1	0.32014	0.75254
KMT2E	6	-0.081127	-1.7366	0.010309	0.2	0.082463	0.74812	0.011215	0.24004	0.8866	0.98901	0.8103	0.94039	-0.048949	-1.0477	0.25773	0.86111	0.29476	0.74924
BCL6	6	0.0084415	0.40149	0.93814	0.98936	0.68806	0.86677	0.0073154	0.34792	0.89691	0.98901	0.7279	0.94039	0.018284	0.86959	0.69072	1	0.38452	0.78385
EZH1	6	0.013049	0.42067	0.7732	0.98936	0.674	0.86636	-0.018875	-0.60847	0.53608	0.98901	0.54287	0.83585	-0.023788	-0.76682	0.47423	1	0.44319	0.80035
EZH2	6	-0.028191	-1.117	0.29897	0.93878	0.26399	0.74812	-0.011066	-0.43845	0.68041	0.98901	0.66106	0.94039	-0.022488	-0.89099	0.50515	1	0.37293	0.78385
JARID2	6	0.036704	1.6155	0.29897	0.93878	0.10621	0.74812	0.02729	1.2011	0.49485	0.98901	0.22972	0.75566	0.015709	0.69138	0.74227	1	0.48933	0.81836
DOT1L	6	-0.03396	-1.1426	0.23711	0.93878	0.2532	0.74812	-0.0063458	-0.21349	0.81443	0.98901	0.83094	0.94039	0.0026791	0.090134	0.96907	1	0.92818	0.98938
EED	6	0.0019407	0.087774	0.92784	0.98936	0.93006	0.97672	-0.00040565	-0.018346	0.92784	0.98901	0.98536	0.99425	-0.0072697	-0.32879	0.76289	1	0.74232	0.95133
SUZ12	6	0.077592	2.141	0.051546	0.71429	0.032277	0.74812	0.068027	1.877	0.092784	0.98901	0.06052	0.45157	0.045845	1.265	0.18557	0.86111	0.20588	0.66099
AEBP1	6	-0.016648	-0.79509	0.47423	0.93878	0.42656	0.74812	0.018947	0.9048	0.73196	0.98901	0.36557	0.81533	9.5794e-05	0.0045748	0.93814	1	0.99635	0.99635
AEBP2	6	-0.02121	-0.59889	0.38144	0.93878	0.54924	0.83506	-0.030573	-0.86321	0.39175	0.98901	0.38802	0.81533	0.036724	1.0368	0.25773	0.86111	0.29981	0.74924
RBBP4	6	0.012829	0.58047	0.7732	0.98936	0.5616	0.83808	-0.014676	-0.66401	0.62887	0.98901	0.50668	0.83585	0.02543	1.1505	0.50515	1	0.24992	0.71994
PHF1	6	0.0012518	0.064893	0.92784	0.98936	0.94826	0.97852	0.021509	1.1149	0.62887	0.98901	0.26487	0.75566	0.032152	1.6666	0.29897	0.86111	0.095587	0.47169
EP300	6	-0.047668	-0.86605	0.12371	0.93878	0.38646	0.74812	-0.012746	-0.23156	0.63918	0.98901	0.81688	0.94039	-0.18661	-3.3907	0	0	0.00069724	0.016258
ASH1L	6	0.024059	1.0625	0.47423	0.93878	0.288	0.74812	0.015258	0.67384	0.82474	0.98901	0.50041	0.83585	-0.00081355	-0.035929	0.92784	1	0.97134	0.99635
EHMT1	6	0.022674	0.84326	0.54639	0.98182	0.39908	0.74812	0.017186	0.63911	0.78351	0.98901	0.52275	0.83585	0.041311	1.5363	0.21649	0.86111	0.12447	0.52493
EHMT2	6	0.00080736	0.027212	0.91753	0.98936	0.97829	0.99521	-0.0084001	-0.28312	0.76289	0.98901	0.77708	0.94039	0.011566	0.38982	0.84536	1	0.69667	0.95123
PRDM2	6	0.033856	1.3514	0.3299	0.93878	0.17657	0.74812	-0.012092	-0.48266	0.64948	0.98901	0.62934	0.91113	0.0045122	0.1801	0.96907	1	0.85707	0.97757
NSD1	6	0.010842	0.46799	0.83505	0.98936	0.63979	0.86195	0.042585	1.838	0.34021	0.98901	0.066062	0.45772	0.01211	0.52268	0.83505	1	0.60119	0.90257
SOX9	6	0.06827	1.4376	0.061856	0.75	0.15055	0.74812	0.055452	1.1676	0.18557	0.98901	0.24295	0.75566	0.15863	3.3399	0	0	0.00083802	0.016258
PROM1	6	0.0062484	1.4025	1	1	0.16076	0.74812	0.0057486	1.2903	0.92784	0.98901	0.19695	0.75566	0.0049518	1.1115	0.96907	1	0.26637	0.71994
KRT20	6	-0.17237	-1.1447	0	0	0.25234	0.74812	-0.51612	-3.4285	0	0	0.00060703	0.044253	-0.58683	-3.8984	0	0	9.6817e-05	0.0048967
LRIG1	6	0.0032148	0.87274	0.94845	0.98936	0.3828	0.74812	0.0065455	1.7769	0.91753	0.98901	0.075589	0.48881	0.0026416	0.7171	0.96907	1	0.47331	0.80546
CTRL0001	1	-0.0039978	-0.29951	0.80412	0.98936	0.76455	0.90146	-0.0033012	-0.24726	0.82474	0.98901	0.80471	0.94039	-0.014958	-1.1204	0.57732	1	0.26253	0.71994
CTRL0002	1	-0.012136	-0.61576	0.65979	0.98936	0.53805	0.83506	-0.020043	-1.0167	0.59794	0.98901	0.30928	0.78844	-0.0064021	-0.32475	0.72165	1	0.74537	0.95133
CTRL0003	1	-0.011008	-1.0961	0.6701	0.98936	0.27304	0.74812	0.0017356	0.17277	0.95876	0.98969	0.86283	0.94039	-0.0015207	-0.15138	0.76289	1	0.87967	0.97757
CTRL0004	1	0.025799	1.0666	0.68041	0.98936	0.28617	0.74812	0.0043911	0.18151	0.98969	0.98969	0.85597	0.94039	0.01387	0.57331	0.98969	1	0.56644	0.90072
CTRL0005	1	-0.0034074	-0.47858	0.80412	0.98936	0.63224	0.86195	-0.0057107	-0.80189	0.80412	0.98901	0.42262	0.81988	-0.0012549	-0.17621	0.7732	1	0.86013	0.97757
CTRL0006	1	-0.0094915	-0.42727	0.74227	0.98936	0.66918	0.86636	-0.016547	-0.7447	0.62887	0.98901	0.45645	0.83585	-0.019886	-0.89499	0.53608	1	0.37079	0.78385
CTRL0007	1	-0.00027486	-0.018862	0.87629	0.98936	0.98495	0.99521	-0.016475	-1.1304	0.63918	0.98901	0.25832	0.75566	-0.0058799	-0.4034	0.73196	1	0.68665	0.95123
CTRL0008	1	-0.0050862	-0.31013	0.78351	0.98936	0.75647	0.90146	-0.011394	-0.69456	0.73196	0.98901	0.48733	0.83585	-0.015502	-0.94502	0.57732	1	0.34465	0.77051
CTRL0009	1	-0.0062115	-0.41411	0.7732	0.98936	0.67879	0.86636	-0.016903	-1.1266	0.61856	0.98901	0.25989	0.75566	-0.0014629	-0.097499	0.7732	1	0.92233	0.98938
CTRL0010	1	0.012418	0.99801	0.82474	0.98936	0.31827	0.74812	0.0047721	0.38343	0.98969	0.98969	0.7014	0.94039	0.0058101	0.46683	0.89691	1	0.64062	0.92072
ROSA26	10	0.0012563	0.44736	0.74227	0.98936	0.65461	0.86636	0.004693	1.6711	0.98969	0.98969	0.094711	0.57418	0.00046843	0.16679	0.98969	1	0.86753	0.97757
CCR5	10	0.009246	1.8563	0.90722	0.98936	0.06341	0.74812	0.015507	3.1133	0.6701	0.98901	0.0018499	0.059813	0.01228	2.4654	0.6701	1	0.013687	0.16596
AAVS1	10	0.0058057	1.6668	0.93814	0.98936	0.095564	0.74812	0.0093001	2.6699	0.91753	0.98901	0.0075879	0.18401	0.0082927	2.3807	0.75258	1	0.017281	0.18625
EGFP	6	-0.19894	-1.2228	0	0	0.2214	0.74812	-0.53936	-3.3162	0	0	0.00091244	0.044253	-0.61205	-3.7634	0	0	0.00016761	0.0054193
mKate2	6	0.0061387	0.50383	1	1	0.61438	0.86195	-8.7832e-05	-0.0072084	0.92784	0.98901	0.99425	0.99425	0.047379	3.8883	0.17526	0.86111	0.00010096	0.0048967
